row_index,bits_1,bits_2,bits_3,bits_4,bits_5,bits_6,bits_7,bits_8,mapped_index,real_part,imag_part
39,0,0,1,0,0,1,1,1,0,-0.690268489962633,0.383482494423685
40,0,0,1,0,1,0,0,0,0,-0.690268489962633,-1.15044748327106
41,0,0,1,0,1,0,0,1,0,-0.690268489962633,-0.997054485501582
42,0,0,1,0,1,0,1,0,0,-0.690268489962633,-0.690268489962633
43,0,0,1,0,1,0,1,1,0,-0.690268489962633,-0.843661487732108
44,0,0,1,0,1,1,0,0,0,-0.690268489962633,-0.076696498884737
45,0,0,1,0,1,1,0,1,0,-0.690268489962633,-0.230089496654211
46,0,0,1,0,1,1,1,0,0,-0.690268489962633,-0.536875492193159
47,0,0,1,0,1,1,1,1,0,-0.690268489962633,-0.383482494423685
48,0,0,1,1,0,0,0,0,0,-0.843661487732108,1.15044748327106
49,0,0,1,1,0,0,0,1,0,-0.843661487732108,0.997054485501582
50,0,0,1,1,0,0,1,0,0,-0.843661487732108,0.690268489962633
51,0,0,1,1,0,0,1,1,0,-0.843661487732108,0.843661487732108
52,0,0,1,1,0,1,0,0,0,-0.843661487732108,0.076696498884737
53,0,0,1,1,0,1,0,1,0,-0.843661487732108,0.230089496654211
54,0,0,1,1,0,1,1,0,0,-0.843661487732108,0.536875492193159
55,0,0,1,1,0,1,1,1,0,-0.843661487732108,0.383482494423685
56,0,0,1,1,1,0,0,0,0,-0.843661487732108,-1.15044748327106
57,0,0,1,1,1,0,0,1,0,-0.843661487732108,-0.997054485501582
58,0,0,1,1,1,0,1,0,0,-0.843661487732108,-0.690268489962633
59,0,0,1,1,1,0,1,1,0,-0.843661487732108,-0.843661487732108
60,0,0,1,1,1,1,0,0,0,-0.843661487732108,-0.076696498884737
61,0,0,1,1,1,1,0,1,0,-0.843661487732108,-0.230089496654211
62,0,0,1,1,1,1,1,0,0,-0.843661487732108,-0.536875492193159
63,0,0,1,1,1,1,1,1,0,-0.843661487732108,-0.383482494423685
64,0,1,0,0,0,0,0,0,0,-0.076696498884737,1.15044748327106
65,0,1,0,0,0,0,0,1,0,-0.076696498884737,0.997054485501582
66,0,1,0,0,0,0,1,0,0,-0.076696498884737,0.690268489962633
67,0,1,0,0,0,0,1,1,0,-0.076696498884737,0.843661487732108
68,0,1,0,0,0,1,0,0,0,-0.076696498884737,0.076696498884737
69,0,1,0,0,0,1,0,1,0,-0.076696498884737,0.230089496654211
70,0,1,0,0,0,1,1,0,0,-0.076696498884737,0.536875492193159
71,0,1,0,0,0,1,1,1,0,-0.076696498884737,0.383482494423685
72,0,1,0,0,1,0,0,0,0,-0.076696498884737,-1.15044748327106
73,0,1,0,0,1,0,0,1,0,-0.076696498884737,-0.997054485501582
74,0,1,0,0,1,0,1,0,0,-0.076696498884737,-0.690268489962633
75,0,1,0,0,1,0,1,1,0,-0.076696498884737,-0.843661487732108
76,0,1,0,0,1,1,0,0,0,-0.076696498884737,-0.076696498884737
77,0,1,0,0,1,1,0,1,0,-0.076696498884737,-0.230089496654211
78,0,1,0,0,1,1,1,0,0,-0.076696498884737,-0.536875492193159
79,0,1,0,0,1,1,1,1,0,-0.076696498884737,-0.383482494423685
