channel_index,config_id,snr_db,svd_rate,ucd_rate,delta_rate
8,0,7,nan,nan,nan
8,0,8,nan,nan,nan
8,0,9,nan,nan,nan
8,0,10,11.75866,7.0268598,-4.7318003
8,0,11,nan,nan,nan
8,0,12,nan,nan,nan
8,0,13,nan,nan,nan
8,0,14,nan,nan,nan
8,0,15,19.497832,14.748677,-4.7491558
8,0,16,21.036547,16.790362,-4.246185
8,0,17,22.66516,19.371678,-3.2934819
8,0,18,24.291249,21.686916,-2.6043335
8,0,19,25.824484,24.888504,-0.93597998
8,0,20,27.25205,28.460566,1.2085155
8,0,21,28.642616,32.844805,4.2021892
8,0,22,nan,nan,nan
8,0,23,nan,nan,nan
8,0,24,nan,nan,nan
8,0,25,34.21381,45.50083,11.28702
8,0,26,nan,nan,nan
8,0,27,nan,nan,nan
8,0,28,nan,nan,nan
8,0,29,nan,nan,nan
8,0,30,42.086517,47.999977,5.9134599
9,0,0,2.5816795,0.22235456,-2.3593249
9,0,1,nan,nan,nan
9,0,2,nan,nan,nan
9,0,3,nan,nan,nan
9,0,4,nan,nan,nan
9,0,5,6.6514394,2.9215349,-3.7299045
9,0,6,nan,nan,nan
9,0,7,nan,nan,nan
9,0,8,nan,nan,nan
9,0,9,nan,nan,nan
9,0,10,13.759839,8.3586109,-5.4012277
9,0,11,nan,nan,nan
9,0,12,nan,nan,nan
9,0,13,nan,nan,nan
9,0,14,nan,nan,nan
9,0,15,21.676872,18.027256,-3.6496164
9,0,16,23.44556,20.860984,-2.5845754
9,0,17,25.157523,22.620788,-2.536735
9,0,18,26.815954,25.2717,-1.5442533
9,0,19,28.466399,28.525355,0.058956487
9,0,20,30.058792,33.151546,3.0927536
9,0,21,31.557912,35.459038,3.9011258
9,0,22,nan,nan,nan
9,0,23,nan,nan,nan
9,0,24,nan,nan,nan
9,0,25,36.114255,45.739978,9.6257234
9,0,26,nan,nan,nan
9,0,27,nan,nan,nan
9,0,28,nan,nan,nan
9,0,29,nan,nan,nan
9,0,30,40.779169,47.999755,7.2205859
10,0,0,0.25513553,0.11452831,-0.14060722
10,0,1,nan,nan,nan
10,0,2,nan,nan,nan
10,0,3,nan,nan,nan
10,0,4,nan,nan,nan
10,0,5,3.662369,2.7664967,-0.89587233
10,0,6,nan,nan,nan
10,0,7,nan,nan,nan
10,0,8,nan,nan,nan
10,0,9,nan,nan,nan
10,0,10,10.800066,9.1004751,-1.6995908
10,0,11,nan,nan,nan
10,0,12,nan,nan,nan
10,0,13,nan,nan,nan
10,0,14,nan,nan,nan
10,0,15,23.15791,19.487728,-3.6701825
10,0,16,26.213613,22.699492,-3.5141212
10,0,17,29.131112,26.031529,-3.099583
10,0,18,31.774319,29.634877,-2.1394421
10,0,19,34.030976,33.472657,-0.5583192
10,0,20,35.850694,37.176188,1.3254934
10,0,21,37.329275,40.39002,3.0607447
10,0,22,nan,nan,nan
10,0,23,nan,nan,nan
10,0,24,nan,nan,nan
10,0,25,42.067816,47.521584,5.4537676
10,0,26,nan,nan,nan
10,0,27,nan,nan,nan
10,0,28,nan,nan,nan
10,0,29,nan,nan,nan
10,0,30,46.190277,48,1.8097229
11,0,0,0.87257527,0.09511043,-0.77746484
11,0,1,nan,nan,nan
11,0,2,nan,nan,nan
11,0,3,nan,nan,nan
11,0,4,nan,nan,nan
11,0,5,2.8878642,1.8919071,-0.99595712
11,0,6,nan,nan,nan
11,0,7,nan,nan,nan
11,0,8,nan,nan,nan
11,0,9,nan,nan,nan
11,0,10,8.3293862,7.5613481,-0.7680381
11,0,11,nan,nan,nan
11,0,12,nan,nan,nan
11,0,13,nan,nan,nan
11,0,14,nan,nan,nan
11,0,15,18.740701,16.410151,-2.3305497
11,0,16,21.146057,18.881854,-2.2642031
11,0,17,23.600706,21.753209,-1.8474962
