channel_index,config_id,threshold_db,crossing_type,delta_min,delta_max
708,0,19.725994,single_cross,-4.710078,10.078716
709,0,20.714336,single_cross,-4.5167673,8.5838912
710,0,17.495029,single_cross,-2.063675,4.7080615
711,0,22.467374,single_cross,-12.361088,11.460765
712,0,20.400802,single_cross,-6.8827171,10.779972
713,0,19.141709,single_cross,-8.1545398,9.6349526
714,0,21.561722,single_cross,-3.4327868,7.1730995
715,0,20.375377,single_cross,-2.5785296,7.1607224
716,0,19.43723,single_cross,-4.9809409,9.8223927
717,0,22.043666,single_cross,-6.0339882,9.1871527
718,0,21.401882,single_cross,-5.3620245,9.7055392
719,0,18.432829,single_cross,-4.170757,8.3495293
720,0,17.500328,single_cross,-3.6877142,9.0300069
721,0,21.094134,single_cross,-5.541476,8.4515976
722,0,22.176707,single_cross,-3.2944795,8.3621915
723,0,18.81193,single_cross,-3.1527307,7.0095083
724,0,21.453595,single_cross,-3.334105,8.4804435
725,0,20.507234,single_cross,-3.9288483,7.9022842
726,0,20.908815,single_cross,-4.3099871,8.2399345
727,0,20.766287,single_cross,-5.3005198,8.9924881
728,0,21.580774,single_cross,-4.7766379,8.2615957
729,0,22.669746,single_cross,-4.772811,9.0894434
730,0,23.224276,single_cross,-5.4509594,10.623605
731,0,20.153861,single_cross,-6.541518,10.938219
732,0,23.982361,single_cross,-6.8885872,11.721842
733,0,18.695586,single_cross,-4.3351068,8.5297509
734,0,22.016642,single_cross,-5.8411167,10.247442
735,0,17.356737,single_cross,-1.9638822,5.219758
736,0,19.31476,single_cross,-3.3433241,8.372633
737,0,20.189686,single_cross,-3.929287,8.4926517
738,0,19.941742,single_cross,-3.880622,8.2479684
739,0,18.715511,single_cross,-3.9345435,8.4969575
740,0,20.391538,single_cross,-3.3193763,7.1040921
741,0,22.491694,single_cross,-5.5917753,10.360799
742,0,20.470542,single_cross,-3.2166148,7.271135
743,0,19.64083,single_cross,-4.9582123,8.7210919
744,0,17.033698,single_cross,-2.640485,6.1665576
745,0,26.152859,single_cross,-14.254558,9.6894972
746,0,19.679536,single_cross,-5.2460876,9.682886
747,0,19.771771,single_cross,-4.713884,9.0893961
748,0,20.454791,single_cross,-3.348026,6.2277007
749,0,16.675778,single_cross,-3.1957165,9.3495839
750,0,17.386428,single_cross,-1.9149701,4.1883493
751,0,18.139467,single_cross,-3.5252972,7.8119481
752,0,18.163074,single_cross,-7.881954,9.8467782
753,0,20.706239,single_cross,-4.4710587,8.9475237
754,0,17.510467,single_cross,-4.0634899,8.3536276
755,0,24.463864,single_cross,-15.698154,12.912261
756,0,19.467247,single_cross,-2.6105785,5.6435903
757,0,18.387583,single_cross,-3.9901132,7.4931984
758,0,21.037936,single_cross,-4.3713431,8.8450364
759,0,16.818628,single_cross,-3.0191141,7.7477736
760,0,24.199863,single_cross,-14.167135,10.852137
761,0,21.356897,single_cross,-4.2720344,8.5722097
762,0,17.180957,single_cross,-3.018973,6.8252608
763,0,20.399442,single_cross,-3.1273001,6.8837604
764,0,21.677641,single_cross,-7.1604642,13.122785
765,0,17.894174,single_cross,-5.6836145,9.9176661
766,0,17.949995,single_cross,-2.1110432,5.3773193
767,0,20.948352,single_cross,-5.0601056,8.9476908
768,0,18.298785,single_cross,-2.7992375,6.7188625
769,0,19.878243,single_cross,-3.9556295,7.4420323
770,0,17.381943,single_cross,-2.0128267,5.3086461
771,0,20.703261,single_cross,-3.8100001,8.1653095
772,0,19.606856,single_cross,-3.4085767,7.557156
773,0,18.346564,single_cross,-3.7505398,7.9968261
774,0,17.232366,single_cross,-3.1011291,6.7584641
775,0,21.207712,single_cross,-4.8646008,9.2414406
776,0,19.001419,single_cross,-4.1568915,8.8200205
