channel_index,config_id,snr_db,svd_rate,ucd_rate,delta_rate
6,0,2,2.7184041,0.77384345,-1.9445606
6,0,3,3.3859313,1.0112115,-2.3747198
6,0,4,4.1496582,1.4747809,-2.6748774
6,0,5,5.0174355,2.0071171,-3.0103184
6,0,6,5.9957192,2.6244573,-3.371262
6,0,7,7.0904513,3.2426224,-3.8478289
6,0,8,8.314785,4.2298422,-4.0849428
6,0,9,9.674848,5.3792128,-4.2956352
6,0,10,11.16231,6.5773338,-4.5849766
6,0,11,12.760366,7.8155432,-4.9448227
6,0,12,14.446518,9.0724697,-5.3740486
6,0,13,16.20386,10.464711,-5.7391487
6,0,14,18.002852,13.013493,-4.9893589
6,0,15,19.830307,15.091465,-4.7388417
6,0,16,21.737771,17.131868,-4.6059027
6,0,17,23.704394,19.222252,-4.4821422
6,0,18,25.578993,22.046522,-3.5324707
6,0,19,27.308017,26.563068,-0.74494886
6,0,20,28.903967,29.772217,0.86825003
6,0,21,30.371048,33.419308,3.0482599
6,0,22,31.732573,37.29235,5.5597773
6,0,23,33.040742,40.546399,7.5056573
6,0,24,34.366633,43.417647,9.0510143
6,0,25,35.744735,45.469631,9.7248966
6,0,26,37.117769,46.816291,9.6985214
6,0,27,38.407058,47.514871,9.1078132
6,0,28,39.569604,47.796377,8.2267729
6,0,29,40.610256,47.947673,7.3374167
6,0,30,41.55954,47.996643,6.4371029
7,0,0,0.11752736,0,-0.11752736
7,0,1,0.23421691,0,-0.23421691
7,0,2,0.40223603,0,-0.40223603
7,0,3,0.63059202,0,-0.63059202
7,0,4,0.93141857,0,-0.93141857
7,0,5,1.3091063,0,-1.3091063
7,0,6,1.7710925,0,-1.7710925
7,0,7,2.3197282,0.03082159,-2.2889066
7,0,8,2.9560643,0.12970129,-2.826363
7,0,9,3.6853165,0.42193207,-3.2633844
7,0,10,4.4944335,1.0409613,-3.4534722
7,0,11,5.4187128,1.6063214,-3.8123913
7,0,12,6.5065925,2.2471523,-4.2594401
7,0,13,7.7467167,2.7261246,-5.0205921
7,0,14,9.1442356,3.2408282,-5.9034074
7,0,15,10.661404,3.7123871,-6.9490167
7,0,16,12.281803,4.3887855,-7.8930172
7,0,17,13.977304,4.9586906,-9.0186132
7,0,18,15.739398,5.2311837,-10.508214
